question,course,document
question1: What are the prerequisites for this course?,data-engineering-zoomcamp,1f6520ca
question2: What skills or prior knowledge are required to enroll in this course?,data-engineering-zoomcamp,1f6520ca
question3: What are the necessary prerequisites for the Data Engineering Zoomcamp course offered by DataTalksClub on GitHub?,data-engineering-zoomcamp,1f6520ca
question4: What should a student know before starting the Data Engineering Zoomcamp course offered by DataTalksClub on GitHub?,data-engineering-zoomcamp,1f6520ca
question5: What are the prerequisites for the Data Engineering course provided by DataTalksClub on GitHub?,data-engineering-zoomcamp,1f6520ca
What is the schedule for the Data-Engineering ZoomCamp?,data-engineering-zoomcamp,2ed9b986
Are there multiple cohorts for each ZoomCamp within a year?,data-engineering-zoomcamp,2ed9b986
How many ZoomCamps are available for the Machine Learning course in a year?,data-engineering-zoomcamp,2ed9b986
Can I take a ZoomCamp outside of its scheduled cohort if I'm not interested in the certificate?,data-engineering-zoomcamp,2ed9b986
Is there only one live cohort per year for each ZoomCamp regarding the certification?,data-engineering-zoomcamp,2ed9b986
"Question1: If I opt for the self-paced course, can I receive support?",data-engineering-zoomcamp,eb56ae98
Question2: Is there a Slack channel available for self-paced course participants to ask questions?,data-engineering-zoomcamp,eb56ae98
Question3: What should I do if I have questions while taking the self-paced course?,data-engineering-zoomcamp,eb56ae98
Question4: Should I search the Slack channel and FAQ document before asking my question?,data-engineering-zoomcamp,eb56ae98
Question5: Can I use the @ZoomcampQABot to assist me in my Slack channel question search?,data-engineering-zoomcamp,eb56ae98
Question1: What is the main YouTube playlist for the course?,data-engineering-zoomcamp,4292531b
Question2: Where can I find the main 'DATA ENGINEERING' playlist on YouTube?,data-engineering-zoomcamp,4292531b
Question3: Where can I find a list of videos in the main YouTube playlist along with thumbnails?,data-engineering-zoomcamp,4292531b
Question4: Where can I find the year-specific playlists for additional videos in the course?,data-engineering-zoomcamp,4292531b
Question5: Where can I find the year-specific playlists pinned to the Slack channel?,data-engineering-zoomcamp,4292531b
"Question 1: What is the estimated weekly time commitment for this course, considering my background and previous experience with similar modules?",data-engineering-zoomcamp,ea739c65
Question 2: Is it possible to give a rough estimate of the number of hours I should dedicate to this course per week?,data-engineering-zoomcamp,ea739c65
Question 3: How many hours on average should a student with no prior experience with the course modules spend each week?,data-engineering-zoomcamp,ea739c65
"Question 4: Can I expect to spend 5-15 hours per week on this course, or does this depend on my personal learning pace and prior knowledge?",data-engineering-zoomcamp,ea739c65
Question 5: Are there any guidelines or resources I can use to calculate the estimated weekly time commitment for this course based on my own learning pace and prior experience?,data-engineering-zoomcamp,ea739c65
Question1: Can I complete the course at my own pace and still get a certificate?,data-engineering-zoomcamp,cb257ee5
Question2: How is the certificate awarded for this course?,data-engineering-zoomcamp,cb257ee5
Question3: Is a certificate awarded for the self-paced mode of the course?,data-engineering-zoomcamp,cb257ee5
Question4: Why can't I get a certificate for the self-paced mode of the course?,data-engineering-zoomcamp,cb257ee5
Question5: Can I review my peers' capstone projects in the self-paced mode?,data-engineering-zoomcamp,cb257ee5
Question1: How can I join the 'Office Hour' or workshop sessions?,data-engineering-zoomcamp,04aa4897
Question2: Where can I submit questions during the 'Office Hour' or workshop sessions?,data-engineering-zoomcamp,04aa4897
Question3: Is there a specific link to access the 'Office Hour' or workshop sessions on Zoom?,data-engineering-zoomcamp,04aa4897
Question4: Will the 'Office Hour' or workshop sessions be available on YouTube after they are live?,data-engineering-zoomcamp,04aa4897
Question5: Should I post my questions in the chat during the 'Office Hour' or workshop sessions?,data-engineering-zoomcamp,04aa4897
Question1: Will the Office Hours/workshop be recorded if I can't attend live?,data-engineering-zoomcamp,9681be3b
Question2: Is it possible to view the recorded Office Hours sessions?,data-engineering-zoomcamp,9681be3b
Question3: How long after the live Office Hours session will the recording be available?,data-engineering-zoomcamp,9681be3b
Question4: Can I rewatch the recorded Office Hours sessions?,data-engineering-zoomcamp,9681be3b
Question5: Where can I find the recorded Office Hours sessions?,data-engineering-zoomcamp,9681be3b
What is the location of the homework and project deadlines?,data-engineering-zoomcamp,a1daf537
How can I stay updated on any extensions or news related to homework and project deadlines?,data-engineering-zoomcamp,a1daf537
Is there a way to check for updated deadlines through the form?,data-engineering-zoomcamp,a1daf537
Who should I follow for announcements regarding homework and project deadlines?,data-engineering-zoomcamp,a1daf537
What is the URL for accessing the latest homework and project deadlines?,data-engineering-zoomcamp,a1daf537
Question1: What is the policy for late submissions of homework?,data-engineering-zoomcamp,be5bfee4
Question2: Can I submit my homework after the due date if the form is still open?,data-engineering-zoomcamp,be5bfee4
Question3: How can I confirm my late submission of homework?,data-engineering-zoomcamp,be5bfee4
Question4: Is there a specific date-timestamp I need to confirm for my late submission?,data-engineering-zoomcamp,be5bfee4
Question5: Are there any sources I can refer to for older news or updates related to homework submissions?,data-engineering-zoomcamp,be5bfee4
Question1: Where can I find the URL for my homework submission?,data-engineering-zoomcamp,0e424a44
"Question2: What specific online platform should I use for submitting my homework (GitHub, GitLab, or Bitbucket)?",data-engineering-zoomcamp,0e424a44
"Question3: Can I use any other location apart from GitHub, GitLab, or Bitbucket for submitting my homework?",data-engineering-zoomcamp,0e424a44
Question4: How can a reasonable person determine if I have completed the week's exercises based on my homework submission location?,data-engineering-zoomcamp,0e424a44
Question5: Is it necessary to have my code in a repository or any other specific location for homework submission?,data-engineering-zoomcamp,0e424a44
Question1: How are the points for homework determined in the course management platform?,data-engineering-zoomcamp,29865466
"Question2: How can I see the total points I have earned for all course sections (Homework, FAQs, and Learning in Public)?",data-engineering-zoomcamp,29865466
Question3: How many points do I get for submitting a question to the FAQ section?,data-engineering-zoomcamp,29865466
Question4: How many points do I get for sharing a public learning link?,data-engineering-zoomcamp,29865466
"Question5: Can you explain how the leaderboard is calculated in terms of points for each section (Homework, FAQs, and Learning in Public)? ",data-engineering-zoomcamp,29865466
How can I find out my Display name on the leaderboard?,data-engineering-zoomcamp,016d46a1
I can't seem to find my name on the leaderboard. How do I get there?,data-engineering-zoomcamp,016d46a1
Where can I check my Display name on the leaderboard?,data-engineering-zoomcamp,016d46a1
How do I know which leaderboard I'm on since my account name is different?,data-engineering-zoomcamp,016d46a1
Can you guide me on how to access my Display name on the leaderboard?,data-engineering-zoomcamp,016d46a1
Question 1: Can I use GitHub Codespaces as an alternative to using CLI/Git Bash for data ingestion and Docker file creation?,data-engineering-zoomcamp,ac25d3af
Question 2: Is GitHub Codespaces capable of handling Docker and Docker Compose for my projects?,data-engineering-zoomcamp,ac25d3af
Question 3: Can I open my GitHub repositories in a GitHub Codespace?,data-engineering-zoomcamp,ac25d3af
Question 4: Are there pre-installed tools available in GitHub Codespaces for my project work?,data-engineering-zoomcamp,ac25d3af
Question 5: Can I use GitHub Codespaces as a platform for working on Python projects?,data-engineering-zoomcamp,ac25d3af
"Can we use GitHub codespaces for the course, or is it mandatory? I have PostgreSQL and Docker installed on my laptop.",data-engineering-zoomcamp,251218fc
"If GitHub codespaces aren't required, are GCP VM's the only alternative for the course environment?",data-engineering-zoomcamp,251218fc
Can I complete the entire course using my local setup (PostgreSQL & Docker) instead of GitHub codespaces or GCP VM?,data-engineering-zoomcamp,251218fc
"What are the available options for the course environment, considering I already have PostgreSQL and Docker installed?",data-engineering-zoomcamp,251218fc
Is it possible to work on the course from my laptop using my existing PostgreSQL and Docker setup?,data-engineering-zoomcamp,251218fc
What cloud service should I use for the course and is there a free trial available?,data-engineering-zoomcamp,1cd01b2c
Do I need to pay for cloud services if I'm enrolled in this course?,data-engineering-zoomcamp,1cd01b2c
Can I utilize Google Cloud Platform (GCP) for this course and benefit from a free trial?,data-engineering-zoomcamp,1cd01b2c
Is it possible to avoid paying for cloud services while completing this course by using GCP's free trial?,data-engineering-zoomcamp,1cd01b2c
"What are the cloud service requirements for this course and is there an opportunity to use it free of charge (e.g., through a trial)?",data-engineering-zoomcamp,1cd01b2c
"Question 1: Can I complete the course without using cloud providers like GCP, if they are unavailable in my country?",data-engineering-zoomcamp,e4a7c3b0
"Question 2: If I choose to do the course without cloud providers, can you suggest a guide to setting up a home lab?",data-engineering-zoomcamp,e4a7c3b0
Question 3: What tools and materials from the course can be run locally instead of on cloud providers?,data-engineering-zoomcamp,e4a7c3b0
Question 4: Are there certain parts of the course for which guidelines won't be available for running locally?,data-engineering-zoomcamp,e4a7c3b0
Question 5: It is possible to complete the entire course without using any cloud services?,data-engineering-zoomcamp,e4a7c3b0
"Question 1: Can I use AWS for the course? If yes, what considerations should I keep in mind?",data-engineering-zoomcamp,7cd1912e
Question 2: Is it possible to create a data pipeline and visualization using AWS in the final capstone?,data-engineering-zoomcamp,7cd1912e
Question 3: Will the help and support available during the course be limited if I'm using AWS instead of the recommended tool?,data-engineering-zoomcamp,7cd1912e
"Question 4: If I encounter issues, are there other students who can assist me since they are also using AWS?",data-engineering-zoomcamp,7cd1912e
Question 5: Is it possible to use a different tool instead of AWS for the course?,data-engineering-zoomcamp,7cd1912e
Are there any additional live Zoom calls scheduled other than the office hours?,data-engineering-zoomcamp,52393fb3
Can you provide more details about the live Zoom calls during the Capstone period?,data-engineering-zoomcamp,52393fb3
Will there be any live Zoom sessions other than the office hours to address questions during the Capstone period?,data-engineering-zoomcamp,52393fb3
How will I be informed if live Zoom calls are scheduled during the Capstone period?,data-engineering-zoomcamp,52393fb3
"If live Zoom calls are to be held during the Capstone period, will they be to address specific questions or general discussions?",data-engineering-zoomcamp,52393fb3
What data set will we be using in the current course?,data-engineering-zoomcamp,10515af5
Is the data set for the course the same as last year's NYC Trip data for January 2021?,data-engineering-zoomcamp,10515af5
Is there a change in the data set for the current course compared to the 2022 data?,data-engineering-zoomcamp,10515af5
Where can I find the data set that we will be using in this course?,data-engineering-zoomcamp,10515af5
"Since the project remains the same as last year's, will we be using the same data set?",data-engineering-zoomcamp,10515af5
Question 1: Is the 2022 repository still available?,data-engineering-zoomcamp,cdb86a97
"Question 2: If not, where can I find the materials from the 2022 course?",data-engineering-zoomcamp,cdb86a97
Question 3: Has the 2022 content been moved to a new repository?,data-engineering-zoomcamp,cdb86a97
"Question 4: If so, where exactly can I find the 2022 course materials in the new repository?",data-engineering-zoomcamp,cdb86a97
Question 5: Is the old 2022 repository still accessible for historical purposes?,data-engineering-zoomcamp,cdb86a97
Question 1: Is it possible to use Apache Airflow for my final project instead of the suggested tools?,data-engineering-zoomcamp,3e0114ad
